time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-09-22T09:07:04.619Z,-40.7598,174.0982,62.927,5.2,mww,73,40,0.71,1.15,us,us7000ia3y,2022-09-22T11:17:31.706Z,"59 km N of Picton, New Zealand",earthquake,2.73,5.165,0.093,11,reviewed,us,us
2022-09-22T06:16:09.611Z,18.3081,-102.9226,24.119,6.8,mww,128,53,2.085,1.09,us,us7000ia36,2022-09-22T12:11:45.118Z,"Michoacan, Mexico",earthquake,8.14,3.245,0.04,61,reviewed,us,us
2022-09-21T22:24:41.919Z,35.2102,141.2426,17.371,5,mww,88,120,2.402,0.89,us,us7000ia0q,2022-09-21T22:40:14.040Z,"68 km SSE of Hasaki, Japan",earthquake,6.68,3.888,0.075,17,reviewed,us,us
2022-09-21T17:57:59.244Z,38.5059,44.9794,45.541,5.1,mww,63,71,1.521,0.86,us,us7000i9z2,2022-09-21T19:57:23.146Z,Turkey-Iran border region,earthquake,5.85,5.276,0.093,11,reviewed,us,us
2022-09-21T11:57:51.682Z,-6.0555,131.0082,60.104,5,mb,80,102,1.936,0.86,us,us7000i9w7,2022-09-21T12:14:32.040Z,"198 km WSW of Tual, Indonesia",earthquake,6.29,6.641,0.079,51,reviewed,us,us
2022-09-21T09:30:48.880Z,-5.4702,147.0256,210.03,5.7,mww,120,28,5.275,0.81,us,us7000i9uu,2022-09-22T09:33:45.252Z,"eastern New Guinea region, Papua New Guinea",earthquake,9.06,5.132,0.05,39,reviewed,us,us
2022-09-20T22:25:01.121Z,-1.2158,98.5759,18.341,5,mb,54,130,2.695,0.67,us,us7000i9n5,2022-09-20T23:04:40.040Z,"184 km WSW of Pariaman, Indonesia",earthquake,9.44,4.452,0.079,51,reviewed,us,us
2022-09-20T18:49:18.541Z,-55.6535,-27.3746,38.582,5,mb,58,60,5.427,0.67,us,us7000i9ln,2022-09-21T14:41:20.040Z,South Sandwich Islands region,earthquake,11.35,5.001,0.085,50,reviewed,us,us
2022-09-20T18:23:42.879Z,55.4995,166.3395,10,6,mww,260,52,5.145,0.62,us,us7000i9l5,2022-09-21T18:45:42.282Z,"254 km ESE of Ust’-Kamchatsk Staryy, Russia",earthquake,8.58,1.782,0.03,105,reviewed,us,us
2022-09-20T08:17:17.023Z,18.4757,-103.52,56.647,5.8,mww,110,70,2.461,0.99,us,us7000i9hm,2022-09-22T08:36:46.898Z,"9 km SE of La Placita de Morelos, Mexico",earthquake,8.38,3.768,0.03,108,reviewed,us,us
2022-09-20T04:22:49.730Z,-15.546,167.9322,18.028,5.1,mb,63,43,0.71,0.68,us,us7000i9fp,2022-09-21T01:14:27.040Z,"81 km NE of Norsup, Vanuatu",earthquake,7.38,4.167,0.039,215,reviewed,us,us
2022-09-19T19:30:39.858Z,18.4679,-103.8357,10,5.3,mb,80,166,2.732,0.77,us,us7000i9cl,2022-09-20T16:00:11.611Z,"27 km WSW of La Placita de Morelos, Mexico",earthquake,10,1.879,0.023,618,reviewed,us,us
2022-09-19T18:05:06.826Z,18.3667,-103.2524,15.134,7.6,mww,123,150,2.3,1.88,us,us7000i9bw,2022-09-22T11:54:51.084Z,"37 km SE of Aquila, Mexico",earthquake,8.76,3.748,0.025,159,reviewed,us,us
2022-09-19T17:53:45.517Z,-36.8757,78.5512,10,5.6,mww,34,55,1.207,1.1,us,us7000i9bx,2022-09-20T17:57:18.177Z,Mid-Indian Ridge,earthquake,10.5,1.84,0.093,11,reviewed,us,us
2022-09-19T16:42:57.375Z,-36.9316,78.314,10,5.9,mww,58,30,1.047,0.59,us,us7000i9bi,2022-09-20T20:41:13.040Z,Mid-Indian Ridge,earthquake,8.52,1.875,0.05,39,reviewed,us,us
2022-09-19T04:29:05.310Z,-5.4202,146.5834,158.277,5,mb,99,29,5.693,0.71,us,us7000i979,2022-09-19T04:48:16.040Z,"90 km ESE of Madang, Papua New Guinea",earthquake,8.77,6.604,0.045,158,reviewed,us,us
2022-09-19T02:07:43.835Z,23.4025,121.408,13.006,5.5,mww,100,26,0.102,1,us,us7000i96l,2022-09-20T20:37:22.040Z,"66 km SSW of Hualien City, Taiwan",earthquake,3.27,3.819,0.098,10,reviewed,us,us
